TCS,,,,,,,RELIANCE,,,,,,,LT,,,,,,,TATAPOWER,,,,,,,IRCTC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume
12/31/2018,4.710000038,4.860000134,4.630000114,4.769999981,4.458913326,456500,1/1/2019,1114.68396,1116.714722,1099.676147,1110.473877,1093.406982,4498087,1/1/2019,1445,1445,1425.199951,1441.900024,1332.894775,786846,1/1/2019,77,77.25,76.30000305,76.69999695,70.03150177,2153622,10/14/2019,125.1999969,148.7599945,125,145.5500031,143.6569824,226353035
1/2/2019,4.71999979,5.079999924,4.690000057,4.949999809,4.627173901,272500,1/2/2019,1104.034912,1116.41748,1090.661621,1096.010864,1079.166382,7212697,1/2/2019,1441,1444.900024,1417.099976,1425.5,1317.734619,2058504,1/2/2019,76.80000305,76.94999695,74.40000153,74.84999847,68.34234619,2504768,10/15/2019,147.1999969,149.4799957,139.2100067,142.6300049,140.7749786,52650205
1/3/2019,4.920000076,5.079999924,4.820000172,4.929999828,4.608478069,256800,1/3/2019,1097.100586,1104.133911,1079.864014,1082.489136,1065.852417,7517041,1/3/2019,1426,1429,1391,1395,1289.540283,2290756,1/3/2019,76,76.25,73.84999847,74.19999695,67.74887085,4583837,10/16/2019,142.8000031,144.1999969,139.6499939,140.1300049,138.3074951,17381530
1/4/2019,5.010000229,5.150000095,4.949999809,5.119999886,4.786087036,217600,1/4/2019,1087.095459,1094.079224,1070.948486,1088.33374,1071.607178,8545382,1/4/2019,1401.900024,1407.599976,1373.550049,1388.050049,1283.115723,2711485,1/4/2019,74.30000305,75.55000305,73.69999695,75.05000305,68.52497101,3170169,10/17/2019,140.0200043,146.6000061,137.4299927,144.8600006,142.9759827,25164650
1/7/2019,5.119999886,5.489999771,5.050000191,5.380000114,5.029130459,246100,1/7/2019,1096.605225,1107.947754,1090.661621,1094.376465,1077.557007,5565822,1/7/2019,1397,1408.599976,1379.050049,1383.800049,1279.187012,1851513,1/7/2019,75.44999695,75.75,74.25,74.69999695,68.20539093,1691362,10/18/2019,145,157.9799957,143.2100067,155.8300018,153.8032837,48666150
1/8/2019,5.46999979,5.690000057,5.380000114,5.550000191,5.188043594,323200,1/8/2019,1094.723145,1099.527588,1085.708618,1094.277344,1077.459473,5678473,1/8/2019,1387.5,1393.849976,1375,1382.199951,1277.708008,1437271,1/8/2019,74.75,75.5,74.55000305,74.94999695,68.43365479,1684121,10/22/2019,157.3899994,173.3500061,156.1999969,168.9400024,166.7427673,46733940
1/9/2019,5.489999771,5.630000114,5.46999979,5.539999962,5.178695679,194600,1/9/2019,1101.55835,1106.511353,1088.383179,1100.320068,1083.409302,5821468,1/9/2019,1389.5,1393.550049,1372,1386.050049,1281.266968,1413005,1/9/2019,75.09999847,75.5,73.84999847,74.34999847,67.88582611,2006348,10/23/2019,173.1999969,181.9799957,173.1999969,180.0599976,177.7181549,45116345
1/10/2019,5.480000019,5.739999771,5.369999886,5.710000038,5.337608814,250700,1/10/2019,1097.348267,1100.567749,1092.642822,1097.100586,1080.23938,4118960,1/10/2019,1388,1398.900024,1383.25,1392.599976,1287.321655,1063647,1/10/2019,74.25,75.09999847,73.90000153,74.90000153,68.38800812,1704653,10/24/2019,184.9900055,190.6999969,172.5299988,180.4100037,178.0635986,59356565
1/11/2019,5.699999809,6.03000021,5.639999866,5.860000134,5.477826118,388500,1/11/2019,1097.199585,1103.341431,1078.378052,1087.739258,1071.021729,6525174,1/11/2019,1393,1393.900024,1361.050049,1369.599976,1266.060425,2489197,1/11/2019,75.09999847,75.25,73.80000305,75,68.47930908,3214817,10/25/2019,181,183.1999969,175.1999969,179.8099976,177.471405,19247675
1/14/2019,5.800000191,5.920000076,5.78000021,5.880000114,5.49652195,148500,1/14/2019,1084.718018,1090.16626,1076.19873,1086.501099,1069.802856,4150757,1/14/2019,1367.199951,1367.199951,1331,1333.900024,1233.059326,3080984,1/14/2019,75,75,73.69999695,74.30000305,67.84017944,3702534,10/27/2019,182.1999969,185,179,181.5399933,179.178894,6711285
