,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72fdd,INDOTECH,EQ,N,174.3,165.9,174.3,167.2,167.5,170.5,8084,1370363.6,292.55,80.2,324,INE332H01014,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.496Z,2021-10-19T12:01:03.496Z,0,169.52,19-Oct-2021,
1,61700becffea140009a39ca4,INDOTECH,EQ,N,175.55,164.0,174.0,174.15,172.5,167.2,19512,3344419.75,292.55,80.2,480,INE332H01014,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.436Z,2021-10-20T12:30:36.436Z,0,171.4,20-Oct-2021,
2,61715662facf5c0008bb17f6,INDOTECH,EQ,N,174.15,166.2,171.0,167.8,167.95,174.15,7312,1235688.7,292.55,80.2,195,INE332H01014,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.787Z,2021-10-21T12:00:34.787Z,0,168.99,21-Oct-2021,
3,6172a8032dc18f00080fe49f,INDOTECH,EQ,N,169.95,161.3,169.95,162.75,161.55,167.8,3496,575565.55,292.55,80.2,158,INE332H01014,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.171Z,2021-10-22T12:01:07.171Z,0,164.64,22-Oct-2021,
4,61769c5ddb443b0008c8e6cb,INDOTECH,EQ,N,164.7,155.0,164.7,155.15,155.4,162.75,12379,1944338.0,292.55,80.2,219,INE332H01014,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.388Z,2021-10-25T12:00:29.388Z,0,157.07,25-Oct-2021,
5,6177ee002ed3fb00087decf5,INDOTECH,EQ,N,160.05,153.0,153.0,159.55,160.0,155.15,13448,2135847.15,292.55,80.2,169,INE332H01014,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.397Z,2021-10-26T12:01:04.397Z,0,158.82,26-Oct-2021,
6,61793f867220a800093c6b7a,INDOTECH,EQ,N,163.8,154.7,158.0,155.9,155.15,159.55,7501,1182760.45,292.55,80.2,411,INE332H01014,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.564Z,2021-10-27T12:01:10.564Z,0,157.68,27-Oct-2021,
7,617a90e4b698860008b70988,INDOTECH,EQ,N,162.0,155.05,157.65,158.4,160.0,155.9,8181,1297974.0,292.55,80.2,349,INE332H01014,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.502Z,2021-10-28T12:00:36.502Z,0,158.66,28-Oct-2021,
8,616578ff60745c000893742e,INDOTECH,EQ,N,188.65,176.05,188.2,178.35,177.4,179.7,71937,13163643.0,292.55,80.2,1373,INE332H01014,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:03.664Z,2021-10-12T12:01:03.664Z,0,182.99,12-Oct-2021,
9,6166ca6673e7b00008258e1e,INDOTECH,EQ,N,181.0,175.35,179.75,177.15,177.5,178.35,19453,3478352.3,292.55,80.2,544,INE332H01014,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:38.195Z,2021-10-13T12:00:38.195Z,0,178.81,13-Oct-2021,
