,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3812137b10008e73309,5PAISA,EQ,N,543.8,492.0,537.0,503.5,503.8,533.25,108572,56078540.4,580.0,235.65,6338,INE618L01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.289Z,2021-10-19T12:01:05.289Z,0,516.51,19-Oct-2021,
1,61700bedffea140009a39ee2,5PAISA,EQ,N,473.75,438.6,460.0,445.8,449.0,503.5,172917,78799609.75,580.0,235.65,9551,INE618L01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.414Z,2021-10-20T12:30:37.414Z,0,455.71,20-Oct-2021,
2,61715664facf5c0008bb1ba6,5PAISA,EQ,N,459.0,425.0,457.85,443.65,448.0,445.8,51616,22939812.2,580.0,235.65,3456,INE618L01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.663Z,2021-10-21T12:00:36.663Z,0,444.43,21-Oct-2021,
3,6172a8042dc18f00080fe715,5PAISA,EQ,N,456.6,435.0,450.0,441.65,443.0,443.65,59223,26450772.55,580.0,235.65,4293,INE618L01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.318Z,2021-10-22T12:01:08.318Z,0,446.63,22-Oct-2021,
4,61769c5fdb443b0008c8eaa7,5PAISA,EQ,N,450.0,428.65,443.0,431.3,434.0,441.65,28279,12303476.7,580.0,235.65,2716,INE618L01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.317Z,2021-10-25T12:00:31.317Z,0,435.07,25-Oct-2021,
5,6177ee022ed3fb00087df07c,5PAISA,EQ,N,450.0,430.1,432.6,446.0,450.0,431.3,26127,11572643.55,580.0,235.65,1859,INE618L01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.021Z,2021-10-26T12:01:06.021Z,0,442.94,26-Oct-2021,
6,61793f8a7220a800093c7292,5PAISA,EQ,N,458.0,440.05,451.0,443.1,446.0,446.0,15693,7029213.5,580.0,235.65,1220,INE618L01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:14.268Z,2021-10-27T12:01:14.268Z,0,447.92,27-Oct-2021,
7,617a90e6b698860008b70d53,5PAISA,EQ,N,450.0,430.05,445.4,446.9,440.0,443.1,30892,13646809.55,580.0,235.65,1776,INE618L01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.407Z,2021-10-28T12:00:38.407Z,0,441.76,28-Oct-2021,
8,6139f76a9241480008a1abe0,5PAISA,EQ,N,474.95,460.05,460.05,468.25,470.0,469.2,16510,7755650.1,580.0,235.65,531,INE618L01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.140Z,2021-09-09T12:00:42.140Z,0,469.75,09-Sep-2021,
9,613f3d5e66f15f00083949e5,5PAISA,EQ,N,474.0,460.0,460.0,468.7,469.5,468.25,30727,14412286.95,580.0,235.65,824,INE618L01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.332Z,2021-09-13T12:00:30.332Z,0,469.04,13-Sep-2021,
