,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange
0,616eb37e2137b10008e72f11,UJJIVANSFB,EQ,N,23.75,22.7,23.6,22.85,22.8,23.35,3952940,91245152.0,44.6,17.8,10562,INE551W01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.969Z,2021-10-19T12:01:02.969Z,0,23.08,19-Oct-2021,
1,61700bedffea140009a39df2,UJJIVANSFB,EQ,N,22.8,22.1,22.6,22.25,22.3,22.85,2843294,63581487.55,44.6,17.8,7898,INE551W01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.030Z,2021-10-20T12:30:37.030Z,0,22.36,20-Oct-2021,
2,61715662facf5c0008bb16f3,UJJIVANSFB,EQ,N,22.65,22.2,22.65,22.35,22.45,22.25,2096990,46904253.3,44.6,17.8,5412,INE551W01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.308Z,2021-10-21T12:00:34.308Z,0,22.37,21-Oct-2021,
3,6172a8032dc18f00080fe60d,UJJIVANSFB,EQ,N,22.65,21.85,22.35,21.95,22.0,22.35,2505864,55593650.85,44.6,17.8,7053,INE551W01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.743Z,2021-10-22T12:01:07.743Z,0,22.19,22-Oct-2021,
4,61769c5cdb443b0008c8e5cb,UJJIVANSFB,EQ,N,22.45,21.05,22.45,21.7,21.7,21.95,2236350,48425694.4,44.6,17.8,7184,INE551W01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.671Z,2021-10-25T12:00:28.671Z,0,21.65,25-Oct-2021,
5,6177edff2ed3fb00087dec05,UJJIVANSFB,EQ,N,22.2,21.65,21.65,21.95,21.95,21.7,2708945,59502031.65,44.6,17.8,6757,INE551W01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.930Z,2021-10-26T12:01:03.930Z,0,21.97,26-Oct-2021,
6,61793f857220a800093c698f,UJJIVANSFB,EQ,N,22.2,21.05,22.1,21.85,21.9,21.95,1513168,33078086.55,44.6,17.8,4298,INE551W01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.540Z,2021-10-27T12:01:09.540Z,0,21.86,27-Oct-2021,
7,617a90e3b698860008b70889,UJJIVANSFB,EQ,N,22.05,21.0,21.8,21.2,21.25,21.85,1957691,41950992.55,44.6,17.8,7083,INE551W01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.600Z,2021-10-28T12:00:35.600Z,0,21.43,28-Oct-2021,
8,6139f7679241480008a1a79e,UJJIVANSFB,EQ,N,21.15,18.9,19.0,20.5,20.7,18.9,20479433,411868745.9,44.6,17.8,38171,INE551W01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.973Z,2021-09-09T12:00:39.973Z,0,20.11,09-Sep-2021,
9,613f3d5c66f15f0008394585,UJJIVANSFB,EQ,N,21.4,20.3,20.95,20.5,20.4,20.5,21053268,439233777.9,44.6,17.8,33084,INE551W01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.472Z,2021-09-13T12:00:28.472Z,0,20.86,13-Sep-2021,
