,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb37e2137b10008e72e5b,DPABHUSHAN,EQ,N,226.15,217.0,226.1,222.4,222.45,226.15,12017,2657983.5,239.0,70.05,266,INE266Y01019,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.645Z,2021-10-19T12:01:02.645Z,0,221.19,19-Oct-2021
1,61700bedffea140009a39f7b,DPABHUSHAN,EQ,N,223.9,216.0,216.0,218.85,219.0,222.4,5056,1107717.85,239.0,70.05,133,INE266Y01019,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.714Z,2021-10-20T12:30:37.714Z,0,219.09,20-Oct-2021
2,61715661facf5c0008bb162b,DPABHUSHAN,EQ,N,223.95,215.25,223.95,215.8,215.25,218.85,7175,1567858.4,239.0,70.05,196,INE266Y01019,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.913Z,2021-10-21T12:00:33.913Z,0,218.52,21-Oct-2021
3,6172a8042dc18f00080fe7b7,DPABHUSHAN,EQ,N,230.0,216.0,216.0,222.25,222.15,215.8,24340,5461247.2,239.0,70.05,456,INE266Y01019,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.886Z,2021-10-22T12:01:08.886Z,0,224.37,22-Oct-2021
4,61769c5cdb443b0008c8e4fb,DPABHUSHAN,EQ,N,229.0,217.0,229.0,223.9,222.05,222.25,19807,4387277.65,239.0,70.05,1106,INE266Y01019,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.283Z,2021-10-25T12:00:28.283Z,0,221.5,25-Oct-2021
5,6177edff2ed3fb00087deb39,DPABHUSHAN,EQ,N,239.0,225.05,229.0,229.2,230.0,223.9,44401,10269205.75,239.0,70.05,1481,INE266Y01019,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.491Z,2021-10-26T12:01:03.491Z,0,231.28,26-Oct-2021
6,61793f847220a800093c67df,DPABHUSHAN,EQ,N,234.0,227.3,234.0,231.45,232.8,229.2,30158,6970447.5,239.0,70.05,823,INE266Y01019,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.828Z,2021-10-27T12:01:08.828Z,0,231.13,27-Oct-2021
7,617a90e3b698860008b707b6,DPABHUSHAN,EQ,N,234.75,225.5,234.75,227.4,226.55,231.45,13721,3144910.05,239.0,70.05,447,INE266Y01019,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.185Z,2021-10-28T12:00:35.185Z,0,229.2,28-Oct-2021
8,6139f7679241480008a1a6cd,DPABHUSHAN,EQ,N,202.95,197.65,198.1,201.6,201.9,198.1,8650,1731884.15,239.0,70.05,184,INE266Y01019,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.602Z,2021-09-09T12:00:39.602Z,0,200.22,09-Sep-2021
9,613f3d5c66f15f00083944b2,DPABHUSHAN,EQ,N,204.6,198.5,204.6,200.1,200.9,201.6,17066,3414364.5,239.0,70.05,632,INE266Y01019,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.112Z,2021-09-13T12:00:28.112Z,0,200.07,13-Sep-2021
