,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
0,616eb37f2137b10008e72fff,HONDAPOWER,EQ,N,1415.35,1355.0,1401.0,1378.7,1381.0,1403.6,21102,28987201.0,1444.0,915.0,3274,INE634A01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.548Z,2021-10-19T12:01:03.548Z,0,1373.67,19-Oct-2021,,
1,61700becffea140009a39cca,HONDAPOWER,EQ,N,1381.75,1331.0,1380.0,1333.75,1338.0,1378.7,12700,17166326.0,1444.0,915.0,2112,INE634A01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.511Z,2021-10-20T12:30:36.511Z,0,1351.68,20-Oct-2021,,
2,61715662facf5c0008bb181e,HONDAPOWER,EQ,N,1400.0,1320.0,1320.0,1353.4,1355.0,1333.75,8768,11785596.45,1444.0,915.0,1793,INE634A01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.858Z,2021-10-21T12:00:34.858Z,0,1344.16,21-Oct-2021,,
3,6172a8032dc18f00080fe4ca,HONDAPOWER,EQ,N,1365.0,1310.0,1360.2,1349.05,1365.0,1353.4,14139,18906961.75,1444.0,915.0,2150,INE634A01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.237Z,2021-10-22T12:01:07.237Z,0,1337.22,22-Oct-2021,,
4,61769c5ddb443b0008c8e6f4,HONDAPOWER,EQ,N,1351.15,1270.0,1349.05,1288.95,1290.15,1349.05,11490,14921303.25,1444.0,915.0,2381,INE634A01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.458Z,2021-10-25T12:00:29.458Z,0,1298.63,25-Oct-2021,,
5,6177ee002ed3fb00087ded1d,HONDAPOWER,EQ,N,1325.0,1276.25,1295.4,1305.9,1302.0,1288.95,8585,11169104.05,1444.0,915.0,1482,INE634A01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.469Z,2021-10-26T12:01:04.469Z,0,1301.0,26-Oct-2021,,
6,61793f867220a800093c6bc2,HONDAPOWER,EQ,N,1341.1,1289.9,1306.0,1298.85,1289.9,1305.9,3993,5228208.2,1444.0,915.0,1237,INE634A01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.692Z,2021-10-27T12:01:10.692Z,0,1309.34,27-Oct-2021,,
7,617a90e4b698860008b709b0,HONDAPOWER,EQ,N,1314.35,1275.0,1300.0,1301.3,1300.0,1298.85,7593,9853059.35,1444.0,915.0,1367,INE634A01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.574Z,2021-10-28T12:00:36.574Z,0,1297.65,28-Oct-2021,,
8,6139f7689241480008a1a8ae,HONDAPOWER,EQ,N,1220.0,1198.0,1220.0,1203.25,1207.0,1206.3,6149,7422173.65,1388.3,915.0,1138,INE634A01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.478Z,2021-09-09T12:00:40.478Z,0,1207.05,09-Sep-2021,,
9,613f3d5c66f15f0008394695,HONDAPOWER,EQ,N,1215.0,1190.0,1199.0,1210.5,1210.0,1203.25,8107,9752476.1,1388.3,915.0,961,INE634A01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.911Z,2021-09-13T12:00:28.911Z,0,1202.97,13-Sep-2021,,"[{'symbol': 'HONDAPOWER', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting/Dividend - Rs 10 Per Share', 'exDate': '13-Sep-2021', 'recDate': '-', 'bcStartDate': '15-Sep-2021', 'bcEndDate': '21-Sep-2021', 'ndStartDate': '-', 'comp': 'Honda India Power Products Limited', 'isin': 'INE634A01018', 'ndEndDate': '-', 'caBroadcastDate': None}]"
