,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
14,614877e3e0fcf60008e511ba,STLTECH,EQ,N,279.9,270.15,272.9,272.8,274.6,277.85,464080,127542084.45,318.0,139.25,14560,INE089C01029,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.381Z,2021-09-20T12:00:35.381Z,0,274.83,20-Sep-2021,,
15,6149c97ebf6def0009839b96,STLTECH,EQ,N,276.55,265.05,270.0,271.65,271.3,272.8,596888,161732109.3,318.0,139.25,22721,INE089C01029,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:02.929Z,2021-09-21T12:01:02.929Z,0,270.96,21-Sep-2021,,
16,614b1b00f6172a0008df4618,STLTECH,EQ,N,275.6,269.25,271.7,272.5,270.6,271.65,726112,197605709.25,318.0,139.25,19434,INE089C01029,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.709Z,2021-09-22T12:01:04.709Z,0,272.14,22-Sep-2021,,
17,614c6c65a3bb370008f104c5,STLTECH,EQ,N,283.45,273.0,274.35,282.0,281.0,272.5,1956869,546242031.55,318.0,139.25,24963,INE089C01029,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.963Z,2021-09-23T12:00:37.963Z,0,279.14,23-Sep-2021,,
18,614dbde485b9910009314936,STLTECH,EQ,N,299.35,282.0,285.0,291.3,289.65,282.0,2474649,719028072.3,318.0,139.25,42608,INE089C01029,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.175Z,2021-09-24T12:00:36.175Z,0,290.56,24-Sep-2021,,
19,6151b281c3f15b0008afe7d7,STLTECH,EQ,N,292.05,283.0,292.05,285.95,286.8,291.3,708678,202979174.15,318.0,142.5,12799,INE089C01029,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.143Z,2021-09-27T12:01:05.143Z,0,286.42,27-Sep-2021,,
20,615304064a501f0008b2586a,STLTECH,EQ,N,296.95,283.85,287.4,291.2,291.0,285.95,1258508,368199112.05,318.0,142.5,21491,INE089C01029,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:10.457Z,2021-09-28T12:01:10.457Z,0,292.57,28-Sep-2021,,
21,615455824a501f0008e4d001,STLTECH,EQ,N,290.9,285.6,289.0,286.95,287.5,291.2,259961,74814570.0,318.0,142.5,6111,INE089C01029,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.313Z,2021-09-29T12:01:06.313Z,0,287.79,29-Sep-2021,,
22,6155a6ff595682000817631e,STLTECH,EQ,N,294.55,284.8,288.45,286.05,285.3,286.95,376175,108907386.5,318.0,142.5,7791,INE089C01029,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.244Z,2021-09-30T12:01:03.244Z,0,289.51,30-Sep-2021,,
23,6156f85c00c38500086c2c81,STLTECH,EQ,N,286.0,280.0,283.9,281.9,282.0,286.05,216225,61136016.25,318.0,142.5,6060,INE089C01029,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.120Z,2021-10-01T12:00:28.120Z,0,282.74,01-Oct-2021,,
24,615aecff00c38500088df8c2,STLTECH,EQ,N,288.25,282.0,283.9,286.5,286.25,281.9,327979,93612160.75,318.0,142.5,6578,INE089C01029,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.030Z,2021-10-04T12:01:03.030Z,0,285.42,04-Oct-2021,,
25,615c3e681728530008f0b19d,STLTECH,EQ,N,288.9,281.35,286.5,282.4,282.5,286.5,332997,94784810.4,318.0,142.5,7296,INE089C01029,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:40.241Z,2021-10-05T12:00:40.241Z,0,284.64,05-Oct-2021,,
26,615d8fe17c2c3b00089ffcb0,STLTECH,EQ,N,286.55,276.0,284.75,277.85,277.45,282.4,232270,65429536.2,318.0,142.5,6342,INE089C01029,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:33.571Z,2021-10-06T12:00:33.571Z,0,281.7,06-Oct-2021,,
27,615ee161c7aa980008977e13,STLTECH,EQ,N,284.5,275.9,280.1,278.55,279.95,277.85,238752,66909962.35,318.0,142.5,6444,INE089C01029,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:33.158Z,2021-10-07T12:00:33.158Z,0,280.25,07-Oct-2021,,
28,6160330031c1ce0008cb05ec,STLTECH,EQ,N,288.5,278.1,280.1,284.25,283.3,278.55,486029,137719175.1,318.0,142.5,10570,INE089C01029,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:04.829Z,2021-10-08T12:01:04.829Z,0,283.36,08-Oct-2021,,
29,61644a8e1ffdf40008ba4139,STLTECH,EQ,N,286.9,277.5,286.8,278.6,279.1,284.25,658534,186402489.95,318.0,142.5,9728,INE089C01029,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:38.640Z,2021-10-11T14:30:38.640Z,0,283.06,11-Oct-2021,,
30,6165790160745c00089376dd,STLTECH,EQ,N,285.5,276.6,279.45,277.6,278.5,278.6,287575,80174162.75,318.0,142.5,7367,INE089C01029,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:05.279Z,2021-10-12T12:01:05.279Z,0,278.79,12-Oct-2021,,
31,6166ca6773e7b000082590cb,STLTECH,EQ,N,286.5,275.7,278.5,279.55,279.5,277.6,511734,144397424.75,318.0,142.5,10338,INE089C01029,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:39.409Z,2021-10-13T12:00:39.409Z,0,282.17,13-Oct-2021,,
