,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
0,616eb37f2137b10008e72f67,ASALCBR,EQ,N,603.0,555.0,603.0,564.8,566.85,598.55,113389,65715971.3,653.65,236.65,7164,INE073G01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.226Z,2021-10-19T12:01:03.226Z,0,579.56,19-Oct-2021,,
1,61700becffea140009a39c16,ASALCBR,EQ,N,573.85,520.0,556.0,537.2,537.0,564.8,129614,70304494.8,653.65,236.65,9897,INE073G01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.191Z,2021-10-20T12:30:36.191Z,0,542.41,20-Oct-2021,,
2,61715662facf5c0008bb1765,ASALCBR,EQ,N,564.4,539.5,539.5,557.65,560.0,537.2,102852,56798386.4,653.65,236.65,7621,INE073G01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.531Z,2021-10-21T12:00:34.531Z,0,552.23,21-Oct-2021,,
3,6172a8022dc18f00080fe408,ASALCBR,EQ,N,599.0,551.0,566.65,565.5,564.0,557.65,152471,88031752.0,653.65,236.65,9676,INE073G01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.874Z,2021-10-22T12:01:06.874Z,0,577.37,22-Oct-2021,,
4,61769c5ddb443b0008c8e641,ASALCBR,EQ,N,568.95,530.55,562.0,533.95,531.1,565.5,91365,49685998.65,653.65,236.65,6686,INE073G01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.025Z,2021-10-25T12:00:29.025Z,0,543.82,25-Oct-2021,,
5,6177ee002ed3fb00087dec6d,ASALCBR,EQ,N,555.0,531.1,531.1,547.05,546.0,533.95,66137,36194281.65,653.65,236.65,4687,INE073G01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.128Z,2021-10-26T12:01:04.128Z,0,547.26,26-Oct-2021,,
6,61793f867220a800093c6a61,ASALCBR,EQ,N,557.1,533.55,549.9,542.55,550.0,547.05,156479,85557083.8,653.65,236.65,8807,INE073G01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.088Z,2021-10-27T12:01:10.088Z,0,546.76,27-Oct-2021,,
7,617a90e4b698860008b708f8,ASALCBR,EQ,N,554.4,532.0,536.5,537.65,539.0,542.55,102311,55567717.7,653.65,236.65,8618,INE073G01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.097Z,2021-10-28T12:00:36.097Z,0,543.13,28-Oct-2021,,
8,6139f7689241480008a1a803,ASALCBR,EQ,N,444.7,437.15,438.0,443.35,443.5,437.4,33382,14766145.6,516.0,236.65,2903,INE073G01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.130Z,2021-09-09T12:00:40.130Z,0,442.34,09-Sep-2021,,
9,613f3d5c66f15f00083945e8,ASALCBR,EQ,N,448.0,438.6,445.0,443.2,442.3,443.35,42964,19045854.3,516.0,236.65,4189,INE073G01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.628Z,2021-09-13T12:00:28.628Z,0,443.3,13-Sep-2021,,
