,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
0,616eb3812137b10008e732b1,HUHTAMAKI,EQ,N,267.95,262.6,267.95,263.35,263.9,264.55,55261,14619215.0,352.15,260.2,2431,INE275B01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.121Z,2021-10-19T12:01:05.121Z,0,264.55,19-Oct-2021,,
1,61700beeffea140009a3a0de,HUHTAMAKI,EQ,N,265.9,260.6,265.2,261.8,263.5,263.35,46480,12200470.15,352.15,260.2,2835,INE275B01026,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.313Z,2021-10-20T12:30:38.313Z,0,262.49,20-Oct-2021,,
2,61715664facf5c0008bb1b46,HUHTAMAKI,EQ,N,265.15,255.55,265.15,259.3,260.0,261.8,76835,19978109.65,352.15,255.55,3341,INE275B01026,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.504Z,2021-10-21T12:00:36.504Z,0,260.01,21-Oct-2021,,
3,6172a8062dc18f00080fe943,HUHTAMAKI,EQ,N,265.0,259.0,260.2,259.65,260.0,259.3,41968,10954276.1,352.15,255.55,1812,INE275B01026,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.565Z,2021-10-22T12:01:10.565Z,0,261.01,22-Oct-2021,,
4,61769c5fdb443b0008c8ea45,HUHTAMAKI,EQ,N,252.05,234.7,249.95,240.8,241.0,259.65,266061,64437817.3,352.15,234.7,10101,INE275B01026,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.148Z,2021-10-25T12:00:31.148Z,0,242.19,25-Oct-2021,,
5,6177ee012ed3fb00087df01c,HUHTAMAKI,EQ,N,243.85,238.1,240.1,239.4,239.3,240.8,71915,17287870.95,352.15,234.7,3359,INE275B01026,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.831Z,2021-10-26T12:01:05.831Z,0,240.39,26-Oct-2021,,
6,61793f897220a800093c71cb,HUHTAMAKI,EQ,N,246.15,239.2,242.55,239.95,242.85,239.4,47657,11511551.1,352.15,234.7,2177,INE275B01026,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.906Z,2021-10-27T12:01:13.906Z,0,241.55,27-Oct-2021,,
7,617a90e6b698860008b70cf3,HUHTAMAKI,EQ,N,239.9,235.0,239.2,237.4,238.95,239.95,64475,15265629.9,352.15,234.7,2945,INE275B01026,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.231Z,2021-10-28T12:00:38.231Z,0,236.77,28-Oct-2021,,
8,6139f76a9241480008a1ab90,HUHTAMAKI,EQ,N,266.6,262.05,266.5,263.1,262.5,264.6,55185,14554637.1,352.15,256.6,1904,INE275B01026,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.013Z,2021-09-09T12:00:42.013Z,0,263.74,09-Sep-2021,,
9,613f3d5e66f15f000839499b,HUHTAMAKI,EQ,N,266.0,261.0,265.95,262.95,263.9,263.1,51470,13552730.95,352.15,258.2,2506,INE275B01026,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.189Z,2021-09-13T12:00:30.189Z,0,263.31,13-Sep-2021,,
10,61408f038b051b00095453ce,HUHTAMAKI,EQ,N,270.0,262.95,263.0,268.35,267.35,262.95,84437,22527677.65,352.15,258.2,3378,INE275B01026,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.123Z,2021-09-14T12:01:07.123Z,0,266.8,14-Sep-2021,,
11,6141e06552f35100088670bc,HUHTAMAKI,EQ,N,273.45,267.95,271.4,271.55,271.95,268.35,81823,22103913.25,352.15,258.2,3092,INE275B01026,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.801Z,2021-09-15T12:00:37.801Z,0,270.14,15-Sep-2021,,
12,614331de4189570008859d7f,HUHTAMAKI,EQ,N,279.75,271.55,273.95,274.55,275.0,271.55,137854,37972958.75,352.15,258.2,3828,INE275B01026,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:30.384Z,2021-09-16T12:00:30.384Z,0,275.46,16-Sep-2021,,
13,614483817f66a40008755701,HUHTAMAKI,EQ,N,279.05,266.1,275.0,277.2,278.9,274.55,122742,33614656.05,352.15,258.2,4759,INE275B01026,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.113Z,2021-09-17T12:01:05.113Z,0,273.86,17-Sep-2021,,
