,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange
0,616eb37e2137b10008e72f1b,BANKBEES,EQ,N,402.9,396.82,400.8,399.08,398.9,400.39,856049,343035742.87,417.0,235.55,9543,INF204KB15I9,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.001Z,2021-10-19T12:01:03.001Z,0,400.72,19-Oct-2021,
1,61700bedffea140009a39dfd,BANKBEES,EQ,N,409.88,396.88,409.88,398.62,398.8,399.08,287494,114543869.62,417.0,235.55,6402,INF204KB15I9,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.036Z,2021-10-20T12:30:37.036Z,0,398.42,20-Oct-2021,
2,61715662facf5c0008bb1703,BANKBEES,EQ,N,410.44,397.5,410.44,403.6,404.8,398.62,373800,149582387.86,417.0,235.55,5335,INF204KB15I9,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.341Z,2021-10-21T12:00:34.341Z,0,400.17,21-Oct-2021,
3,6172a8032dc18f00080fe61e,BANKBEES,EQ,N,408.09,404.05,405.0,406.14,405.97,403.6,698364,283778188.48,417.0,235.55,7957,INF204KB15I9,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.778Z,2021-10-22T12:01:07.778Z,0,406.35,22-Oct-2021,
4,61769c5cdb443b0008c8e5da,BANKBEES,EQ,N,434.88,400.25,434.88,414.63,415.83,406.14,681508,282285685.22,434.88,237.75,8515,INF204KB15I9,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.694Z,2021-10-25T12:00:28.694Z,0,414.21,25-Oct-2021,
5,6177edff2ed3fb00087dec11,BANKBEES,EQ,N,417.8,410.82,415.0,413.72,414.95,414.63,588315,243541682.17,434.88,237.75,6731,INF204KB15I9,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.950Z,2021-10-26T12:01:03.950Z,0,413.96,26-Oct-2021,
6,61793f857220a800093c69a7,BANKBEES,EQ,N,415.92,410.5,415.0,411.67,411.77,413.72,325997,134976894.02,434.88,237.75,4920,INF204KB15I9,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.586Z,2021-10-27T12:01:09.586Z,0,414.04,27-Oct-2021,
7,617a90e3b698860008b70897,BANKBEES,EQ,N,420.0,396.36,420.0,398.0,398.8,411.67,973640,391535378.87,434.88,237.75,13771,INF204KB15I9,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.628Z,2021-10-28T12:00:35.628Z,0,402.14,28-Oct-2021,
8,6139f7679241480008a1a7a9,BANKBEES,EQ,N,372.5,366.94,372.5,368.96,368.99,370.24,204843,75610516.55,417.0,205.86,4269,INF204KB15I9,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.993Z,2021-09-09T12:00:39.993Z,0,369.11,09-Sep-2021,
9,613f3d5c66f15f0008394591,BANKBEES,EQ,N,399.88,365.68,399.88,367.25,367.66,368.96,292249,107254898.88,417.0,205.86,5524,INF204KB15I9,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.487Z,2021-09-13T12:00:28.487Z,0,367.0,13-Sep-2021,
