,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
0,616eb3822137b10008e7346e,NXTDIGITAL,EQ,N,514.85,491.0,514.85,491.6,491.5,497.65,11339,5632318.9,649.35,390.6,805,INE353A01023,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.173Z,2021-10-19T12:01:06.173Z,0,496.72,19-Oct-2021,,
1,61700beeffea140009a3a1ab,NXTDIGITAL,EQ,N,505.2,491.0,500.0,500.95,500.2,491.6,52326,26197716.15,649.35,390.6,2261,INE353A01023,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.693Z,2021-10-20T12:30:38.693Z,0,500.66,20-Oct-2021,,
2,61715665facf5c0008bb1d1c,NXTDIGITAL,EQ,N,508.0,490.0,508.0,501.8,505.0,500.95,26644,13347412.65,649.35,390.6,786,INE353A01023,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.343Z,2021-10-21T12:00:37.343Z,0,500.95,21-Oct-2021,,
3,6172a8072dc18f00080fea1f,NXTDIGITAL,EQ,N,449.0,421.7,449.0,428.45,425.0,501.8,35283,15251828.4,649.35,390.6,1692,INE353A01023,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:11.613Z,2021-10-22T12:01:11.613Z,0,432.27,22-Oct-2021,,"[{'symbol': 'NXTDIGITAL', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Rights 2:5 @ Premium Rs 290/-', 'exDate': '22-Oct-2021', 'recDate': '25-Oct-2021', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'NXTDIGITAL LIMITED', 'isin': 'INE353A01023', 'ndEndDate': '-', 'caBroadcastDate': None}]"
4,61769c5fdb443b0008c8ec18,NXTDIGITAL,EQ,N,432.8,401.9,428.45,415.75,413.05,428.45,7615,3151151.7,648.95,390.6,781,INE353A01023,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.982Z,2021-10-25T12:00:31.982Z,0,413.81,25-Oct-2021,,
5,6177ee022ed3fb00087df1ea,NXTDIGITAL,EQ,N,439.9,400.0,411.25,407.8,403.05,415.75,9805,3989327.95,648.95,390.6,1301,INE353A01023,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.926Z,2021-10-26T12:01:06.926Z,0,406.87,26-Oct-2021,,
6,61793f8b7220a800093c7569,NXTDIGITAL,EQ,N,413.3,376.95,408.5,386.4,398.9,407.8,16322,6408319.5,648.95,376.95,2014,INE353A01023,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:15.371Z,2021-10-27T12:01:15.371Z,0,392.62,27-Oct-2021,,
7,617a90e6b698860008b70ec8,NXTDIGITAL,EQ,N,400.3,380.0,388.55,381.55,384.0,386.4,6688,2592690.1,648.95,376.95,665,INE353A01023,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:39.010Z,2021-10-28T12:00:39.010Z,0,387.66,28-Oct-2021,,
8,6139f76a9241480008a1ad3c,NXTDIGITAL,EQ,N,422.0,413.5,419.75,418.95,422.0,414.95,803,335485.6,705.0,390.6,80,INE353A01023,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.651Z,2021-09-09T12:00:42.651Z,0,417.79,09-Sep-2021,,
9,613f3d5e66f15f0008394b60,NXTDIGITAL,EQ,N,438.95,415.05,438.95,418.65,417.05,418.95,3606,1521938.0,698.0,390.6,308,INE353A01023,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.903Z,2021-09-13T12:00:30.903Z,0,422.06,13-Sep-2021,,
